number,project,sponsors,link
1,BattleBets,William Hill,http://disrupteu2015.devpost.com/submissions/45792-battlebets
2,Ampersand,Twilio,http://disrupteu2015.devpost.com/submissions/45793-ampersand
3,Tappon,Aol,http://disrupteu2015.devpost.com/submissions/45794-tappon
4,Helpers,,http://disrupteu2015.devpost.com/submissions/45795-helpers
5,Project: Safe Haven,ESRI,http://disrupteu2015.devpost.com/submissions/45797-project-safe-haven
6,Backa,"William Hill, Twilio",http://disrupteu2015.devpost.com/submissions/45799-backa
7,Presens,"Sky, Aol",http://disrupteu2015.devpost.com/submissions/45801-presens
8,Emma,,http://disrupteu2015.devpost.com/submissions/45802-emma
9,INFERNO,Humm,http://disrupteu2015.devpost.com/submissions/45804-inferno
10,James ('Javascript Games Distribution Platform'),,http://disrupteu2015.devpost.com/submissions/45806-james-javascript-games-distribution-platform
11,Snapmap,ESRI,http://disrupteu2015.devpost.com/submissions/45808-snapmap
12,BetNow,William Hill,http://disrupteu2015.devpost.com/submissions/45810-betnow
13,smsnav.me,"ESRI, Twilio",http://disrupteu2015.devpost.com/submissions/45813-smsnav-me
14,textreach,"ESRI, Twilio",http://disrupteu2015.devpost.com/submissions/45814-textreach
15,FlashPoint,ESRI,http://disrupteu2015.devpost.com/submissions/45815-flashpoint
16,Remin,,http://disrupteu2015.devpost.com/submissions/45817-remin
17,hummringer,"Humm, Twilio",http://disrupteu2015.devpost.com/submissions/45821-hummringer
18,Slash,,http://disrupteu2015.devpost.com/submissions/45824-slash
19,OverDriveJS,,http://disrupteu2015.devpost.com/submissions/45826-overdrivejs
20,The Human Code Project,,http://disrupteu2015.devpost.com/submissions/45827-the-human-code-project
21,OddBreaker,"ESRI, William Hill",http://disrupteu2015.devpost.com/submissions/45828-oddbreaker
22,The Guitar of All Things,"Sky, Humm, Aol",http://disrupteu2015.devpost.com/submissions/45829-the-guitar-of-all-things
23,UnicornLabs,"ESRI, Zalando, Twilio",http://disrupteu2015.devpost.com/submissions/45830-unicornlabs
24,BikeDrop,ESRI,http://disrupteu2015.devpost.com/submissions/45831-bikedrop
25,Immediate.ly,"Clover, ESRI",http://disrupteu2015.devpost.com/submissions/45832-immediate-ly
26,stori.us,Twilio,http://disrupteu2015.devpost.com/submissions/45834-stori-us
27,Flipcam,"William Hill, Sky, Zalando, Aol",http://disrupteu2015.devpost.com/submissions/45835-flipcam
28,Mummo,Twilio,http://disrupteu2015.devpost.com/submissions/45836-mummo
29,SuitMeApp,Zalando,http://disrupteu2015.devpost.com/submissions/45837-suitmeapp
30,Butlr,"Sky, Humm",http://disrupteu2015.devpost.com/submissions/45838-butlr
31,MedicSMS,Twilio,http://disrupteu2015.devpost.com/submissions/45839-medicsms
32,Nudge,Clover,http://disrupteu2015.devpost.com/submissions/45840-nudge
33,WhatsBot,"ESRI, Aol",http://disrupteu2015.devpost.com/submissions/45841-whatsbot
34,FreeMe,Aol,http://disrupteu2015.devpost.com/submissions/45842-freeme
35,Company Perks,Clover,http://disrupteu2015.devpost.com/submissions/45843-company-perks
36,Clover wheel of fortune,Clover,http://disrupteu2015.devpost.com/submissions/45844-clover-wheel-of-fortune
37,Kingdon - Beat The Queue,Clover,http://disrupteu2015.devpost.com/submissions/45845-kingdon-beat-the-queue
38,Planna,,http://disrupteu2015.devpost.com/submissions/45846-planna
39,Watchalytics,Sky,http://disrupteu2015.devpost.com/submissions/45847-watchalytics
40,Cheapr,Zalando,http://disrupteu2015.devpost.com/submissions/45848-cheapr
41,VideoTags,,http://disrupteu2015.devpost.com/submissions/45849-videotags
42,Taggly,Zalando,http://disrupteu2015.devpost.com/submissions/45850-taggly
43,1025m - MoreThanAGig,"Humm, Aol, Twilio",http://disrupteu2015.devpost.com/submissions/45851-1025m-morethanagig
44,TaskUp,,http://disrupteu2015.devpost.com/submissions/45852-taskup
45,Food on a Truck,Clover,http://disrupteu2015.devpost.com/submissions/45853-food-on-a-truck
46,IFBet,William Hill,http://disrupteu2015.devpost.com/submissions/45854-ifbet
47,DriveQL,,http://disrupteu2015.devpost.com/submissions/45855-driveql
48,storytunes,,http://disrupteu2015.devpost.com/submissions/45856-storytunes
49,Pokemon Type Chart,"Zalando, Aol",http://disrupteu2015.devpost.com/submissions/45857-pokemon-type-chart
50,Suonoscope,"ESRI, Zalando, Humm, Aol",http://disrupteu2015.devpost.com/submissions/45858-suonoscope
51,MyVibe TV,Sky,http://disrupteu2015.devpost.com/submissions/45859-myvibe-tv
52,LocoBets,William Hill,http://disrupteu2015.devpost.com/submissions/45860-locobets
53,TravelBetter,Aol,http://disrupteu2015.devpost.com/submissions/45861-travelbetter
54,`2gethrr,,http://disrupteu2015.devpost.com/submissions/45862-2gethrr
55,Sky Caramba!,Sky,http://disrupteu2015.devpost.com/submissions/45863-sky-caramba
56,The People's Party Of Music,Humm,http://disrupteu2015.devpost.com/submissions/45864-the-people-s-party-of-music
57,Stock Broker,Clover,http://disrupteu2015.devpost.com/submissions/45865-stock-broker
58,BetBar,William Hill,http://disrupteu2015.devpost.com/submissions/45866-betbar
59,Wager,"Aol, Twilio",http://disrupteu2015.devpost.com/submissions/45867-wager
60,Metamorph,,http://disrupteu2015.devpost.com/submissions/45868-metamorph
61,Pot Luck,,http://disrupteu2015.devpost.com/submissions/45869-pot-luck
62,Musicracy,"Humm, Twilio",http://disrupteu2015.devpost.com/submissions/45870-musicracy
63,Order Up,Clover,http://disrupteu2015.devpost.com/submissions/45871-order-up
64,Glucoaid,,http://disrupteu2015.devpost.com/submissions/45872-glucoaid
65,KikLearn,,http://disrupteu2015.devpost.com/submissions/45873-kiklearn
66,wacky,Humm,http://disrupteu2015.devpost.com/submissions/45874-wacky
67,TuneSquad,Humm,http://disrupteu2015.devpost.com/submissions/45875-tunesquad
68,DealOd,Clover,http://disrupteu2015.devpost.com/submissions/45876-dealod
69,IncentivRise,"William Hill, Twilio",http://disrupteu2015.devpost.com/submissions/45877-incentivrise
70,Don Quixote A Geocaching Windmill Quest.Â  ,,http://disrupteu2015.devpost.com/submissions/45878-don-quixote-a-geocaching-windmill-quest
71,BetR Betting,William Hill,http://disrupteu2015.devpost.com/submissions/45879-betr-betting
72,Zan,Clover,http://disrupteu2015.devpost.com/submissions/45880-zan
73,Murdoch,Sky,http://disrupteu2015.devpost.com/submissions/45881-murdoch
74,SelfieTV,"ESRI, William Hill, Sky, Zalando, Humm, Aol, Twilio",http://disrupteu2015.devpost.com/submissions/45882-selfietv
75,emome.tv,,http://disrupteu2015.devpost.com/submissions/45883-emome-tv
76,Motives,,http://disrupteu2015.devpost.com/submissions/45884-motives
77,SkyFly,Sky,http://disrupteu2015.devpost.com/submissions/45886-skyfly
78,What to Watch?,Sky,http://disrupteu2015.devpost.com/submissions/45885-what-to-watch
